spaceID,spaceName,spaceType,locationNodeID,timeOpen,timeClosed
AAAAA00105,Classroom 1,CLAS,BBBBB00105,2019-01-20 07:00,2019-01-20 23:59
AAAAA00106,Classroom 2,CLAS,BBBBB00106,2019-01-20 07:00,2019-01-20 23:59
AAAAA00107,Classroom 3,CLAS,BBBBB00107,2019-01-20 07:00,2019-01-20 23:59
AAAAA00108,Amphitheater,CLAS,BBBBB00108,2019-01-20 07:00,2019-01-20 23:59
AAAAA00109,Computer Room 1,CLAS,BBBBB00109,2019-01-20 07:00,2019-01-20 23:59
AAAAA00110,Computer Room 2,CLAS,BBBBB00110,2019-01-20 07:00,2019-01-20 23:59
AAAAA00111,Computer Room 3,CLAS,BBBBB00111,2019-01-20 07:00,2019-01-20 23:59
AAAAA00112,Computer Room 4,CLAS,BBBBB00112,2019-01-20 07:00,2019-01-20 23:59
AAAAA00113,Computer Room 5,CLAS,BBBBB00113,2019-01-20 07:00,2019-01-20 23:59
AAAAA00114,Computer Room 6,CLAS,BBBBB00114,2019-01-20 07:00,2019-01-20 23:59
